Device : Tesla V100-SXM2-32GB-LS 

- Model mlp_bert_3
- Epochs 100
- Learning rate 3.0e-04   (n_gpus=8)

 -> Training


-------------   Fold 1 / 4  -------------

    -> Data Preparation
    -> 72119 training images
    -> 22358 validation images
    -> 35143010 trainable parameters
    -> 9819298 distilled parameters

Epoch 01/100 (step 2000) 	lr=1.1e-05 	 t=68s  	 loss=5.407	 val_loss=5.093    acc=0.074
Epoch 02/100 (step 4000) 	lr=2.1e-05 	 t=63s  	 loss=4.818	 val_loss=4.619    acc=0.225
Epoch 03/100 (step 6000) 	lr=3.2e-05 	 t=64s  	 loss=4.359	 val_loss=4.358    acc=0.311
Epoch 04/100 (step 8000) 	lr=4.3e-05 	 t=63s  	 loss=4.074	 val_loss=4.205    acc=0.365
Epoch 05/100 (step 10000) 	lr=5.3e-05 	 t=63s  	 loss=3.867	 val_loss=4.019    acc=0.445
Epoch 06/100 (step 12000) 	lr=6.4e-05 	 t=64s  	 loss=3.729	 val_loss=3.946    acc=0.476
Epoch 07/100 (step 14000) 	lr=7.5e-05 	 t=64s  	 loss=3.571	 val_loss=3.845    acc=0.509
Epoch 08/100 (step 16000) 	lr=8.5e-05 	 t=63s  	 loss=3.518	 val_loss=3.790    acc=0.522
Epoch 09/100 (step 18000) 	lr=9.6e-05 	 t=64s  	 loss=3.445	 val_loss=3.816    acc=0.508
Epoch 09/100 (step 20000) 	lr=1.1e-04 	 t=62s  	 loss=3.395	 val_loss=3.743    acc=0.521
Epoch 10/100 (step 22000) 	lr=1.2e-04 	 t=64s  	 loss=3.380	 val_loss=3.626    acc=0.578
Epoch 11/100 (step 24000) 	lr=1.3e-04 	 t=64s  	 loss=3.363	 val_loss=3.639    acc=0.559
Epoch 12/100 (step 26000) 	lr=1.4e-04 	 t=64s  	 loss=3.341	 val_loss=3.588    acc=0.578
Epoch 13/100 (step 28000) 	lr=1.5e-04 	 t=64s  	 loss=3.322	 val_loss=3.571    acc=0.591
Epoch 14/100 (step 30000) 	lr=1.6e-04 	 t=64s  	 loss=3.312	 val_loss=3.549    acc=0.597
Epoch 15/100 (step 32000) 	lr=1.7e-04 	 t=64s  	 loss=3.351	 val_loss=3.534    acc=0.598
Epoch 16/100 (step 34000) 	lr=1.8e-04 	 t=63s  	 loss=3.350	 val_loss=3.513    acc=0.612
Epoch 17/100 (step 36000) 	lr=1.9e-04 	 t=64s  	 loss=3.408	 val_loss=3.473    acc=0.617
Epoch 17/100 (step 38000) 	lr=2.0e-04 	 t=62s  	 loss=3.412	 val_loss=3.572    acc=0.583
Epoch 18/100 (step 40000) 	lr=2.1e-04 	 t=63s  	 loss=3.472	 val_loss=3.596    acc=0.573
Epoch 19/100 (step 42000) 	lr=2.2e-04 	 t=64s  	 loss=3.478	 val_loss=3.503    acc=0.614
Epoch 20/100 (step 44000) 	lr=2.3e-04 	 t=64s  	 loss=3.541	 val_loss=3.516    acc=0.609
Epoch 21/100 (step 46000) 	lr=2.5e-04 	 t=63s  	 loss=3.529	 val_loss=3.553    acc=0.596
Epoch 22/100 (step 48000) 	lr=2.6e-04 	 t=63s  	 loss=3.595	 val_loss=3.564    acc=0.600
Epoch 23/100 (step 50000) 	lr=2.7e-04 	 t=64s  	 loss=3.605	 val_loss=3.546    acc=0.604
Epoch 24/100 (step 52000) 	lr=2.8e-04 	 t=64s  	 loss=3.639	 val_loss=3.529    acc=0.609
Epoch 25/100 (step 54000) 	lr=2.9e-04 	 t=64s  	 loss=3.624	 val_loss=3.561    acc=0.587
Epoch 25/100 (step 56000) 	lr=3.0e-04 	 t=63s  	 loss=3.623	 val_loss=3.535    acc=0.602
Epoch 26/100 (step 58000) 	lr=3.0e-04 	 t=64s  	 loss=3.595	 val_loss=3.500    acc=0.603
Epoch 27/100 (step 60000) 	lr=2.9e-04 	 t=64s  	 loss=3.511	 val_loss=3.443    acc=0.626
Epoch 28/100 (step 62000) 	lr=2.9e-04 	 t=64s  	 loss=3.508	 val_loss=3.452    acc=0.626
Epoch 29/100 (step 64000) 	lr=2.9e-04 	 t=64s  	 loss=3.497	 val_loss=3.441    acc=0.619
Epoch 30/100 (step 66000) 	lr=2.8e-04 	 t=64s  	 loss=3.450	 val_loss=3.447    acc=0.620
Epoch 31/100 (step 68000) 	lr=2.8e-04 	 t=63s  	 loss=3.430	 val_loss=3.429    acc=0.629
Epoch 32/100 (step 70000) 	lr=2.8e-04 	 t=63s  	 loss=3.437	 val_loss=3.407    acc=0.624
Epoch 33/100 (step 72000) 	lr=2.7e-04 	 t=64s  	 loss=3.370	 val_loss=3.429    acc=0.618
Epoch 33/100 (step 74000) 	lr=2.7e-04 	 t=62s  	 loss=3.406	 val_loss=3.410    acc=0.632
Epoch 34/100 (step 76000) 	lr=2.6e-04 	 t=64s  	 loss=3.359	 val_loss=3.395    acc=0.636
Epoch 35/100 (step 78000) 	lr=2.6e-04 	 t=64s  	 loss=3.353	 val_loss=3.418    acc=0.625
Epoch 36/100 (step 80000) 	lr=2.6e-04 	 t=64s  	 loss=3.319	 val_loss=3.399    acc=0.636
Epoch 37/100 (step 82000) 	lr=2.5e-04 	 t=63s  	 loss=3.318	 val_loss=3.401    acc=0.637
Epoch 38/100 (step 84000) 	lr=2.5e-04 	 t=64s  	 loss=3.286	 val_loss=3.394    acc=0.633
Epoch 39/100 (step 86000) 	lr=2.5e-04 	 t=64s  	 loss=3.318	 val_loss=3.397    acc=0.639
Epoch 40/100 (step 88000) 	lr=2.4e-04 	 t=63s  	 loss=3.272	 val_loss=3.356    acc=0.648
Epoch 41/100 (step 90000) 	lr=2.4e-04 	 t=64s  	 loss=3.287	 val_loss=3.376    acc=0.638
Epoch 41/100 (step 92000) 	lr=2.4e-04 	 t=62s  	 loss=3.239	 val_loss=3.359    acc=0.650
Epoch 42/100 (step 94000) 	lr=2.3e-04 	 t=64s  	 loss=3.235	 val_loss=3.341    acc=0.649
Epoch 43/100 (step 96000) 	lr=2.3e-04 	 t=63s  	 loss=3.216	 val_loss=3.344    acc=0.650
Epoch 44/100 (step 98000) 	lr=2.3e-04 	 t=63s  	 loss=3.209	 val_loss=3.328    acc=0.652
Epoch 45/100 (step 100000) 	lr=2.2e-04 	 t=63s  	 loss=3.179	 val_loss=3.335    acc=0.648
Epoch 46/100 (step 102000) 	lr=2.2e-04 	 t=64s  	 loss=3.203	 val_loss=3.338    acc=0.650
Epoch 47/100 (step 104000) 	lr=2.2e-04 	 t=63s  	 loss=3.165	 val_loss=3.327    acc=0.657
