participant_id,sequence_id,fold
26734,1000035562,2
28656,1000106739,1
16069,100015657,0
25571,1000210073,1
62590,1000240708,1
26734,1000241583,2
26734,1000255522,2
32319,1000278229,3
37055,100035691,3
29302,100039661,2
49445,1000397667,1
36257,1000536928,2
22343,1000638205,2
26734,1000661926,2
27610,1000697904,2
28656,1000862366,1
61333,1000909322,3
27610,1000956928,2
26734,1001145816,2
28656,1001158776,1
22343,1001223069,2
32319,1001258102,3
26734,1001284511,2
53618,1001363076,0
34503,100137027,0
18796,1001373962,3
53618,1001379621,0
4718,1001385785,0
55372,1001471195,2
53618,1001490690,0
49445,1001499433,1
36257,1001560021,2
26734,1001589428,2
53618,1001611718,0
18796,1001682966,3
34503,1001685690,0
29302,1001705639,2
61333,1001819372,3
28656,1001832755,1
53618,1001896056,0
36257,1001899025,2
53618,100190623,0
36257,1001911914,2
28656,1001913464,1
28656,1001919956,1
26734,1001931356,2
2044,1001950812,0
32319,1001958254,3
26734,1002003043,2
49445,1002020383,1
61333,1002052130,3
62590,1002055891,1
2044,1002091184,0
2044,1002092995,0
16069,1002113535,0
55372,1002129762,2
62590,1002160015,1
62590,1002203166,1
26734,100225301,2
29302,1002284514,2
28656,1002298936,1
55372,100230619,2
28656,1002340281,1
26734,1002456370,2
37779,1002526690,1
28656,1002619089,1
18796,1002643353,3
26734,1002667538,2
62590,1002711645,1
55372,1002734054,2
22343,1002776784,2
37779,1002801453,1
62590,1002825266,1
62590,1002885072,1
53618,100293231,0
18796,1002976391,3
37055,1003007869,3
28656,1003023196,1
61333,1003093029,3
37055,1003109377,3
18796,1003114245,3
28656,1003256778,1
26734,100328364,2
36257,1003335907,2
22343,1003347075,2
28656,1003351443,1
53618,1003370644,0
2044,1003433922,0
55372,1003483016,2
34503,1003483410,0
62590,1003498206,1
28656,1003656851,1
49445,1003700302,1
37055,1003705747,3
25571,100387913,1
37055,100393298,3
30680,1004012212,3
22343,1004053083,2
49445,1004160575,1
18796,1004199462,3
32319,1004200659,3
16069,10042041,0
16069,1004211348,0
26734,1004212902,2
28656,1004220316,1
2044,1004220951,0
37779,1004278047,1
29302,1004285193,2
22343,1004302418,2
53618,1004317038,0
16069,100438640,0
27610,1004456612,2
26734,1004515043,2
30680,1004525587,3
27610,1004578262,2
27610,1004604376,2
26734,100465528,2
49445,1004659234,1
37779,1004670955,1
30680,1004717211,3
29302,100475774,2
2044,1004782423,0
55372,1004789884,2
2044,1004871290,0
2044,1004940627,0
28656,100496782,1
27610,100498908,2
16069,1005009451,0
26734,1005029875,2
49445,1005031823,1
55372,1005052722,2
34503,1005088445,0
30680,1005102931,3
32319,100515039,3
25571,1005153432,1
36257,1005189210,2
16069,1005223850,0
4718,1005394128,0
36257,1005422610,2
2044,1005467898,0
61333,1005476876,3
16069,1005492440,0
26734,1005584284,2
2044,1005687002,0
37055,1005734995,3
61333,1005826772,3
22343,100585188,2
32319,1005865446,3
36257,1005866711,2
62590,1005973605,1
25571,1005995721,1
16069,1006058791,0
18796,1006073467,3
18796,1006108133,3
18796,1006174925,3
37055,1006223282,3
26734,1006264561,2
30680,1006302094,3
55372,1006402771,2
49445,1006440534,1
16069,1006443357,0
49445,1006462059,1
53618,100646867,0
18796,1006488300,3
28656,1006548504,1
34503,1006554061,0
37779,1006573792,1
22343,1006584947,2
49445,1006585242,1
37055,1006625592,3
4718,1006690809,0
28656,1006698125,1
53618,1006736862,0
62590,1006742163,1
22343,1006778422,2
34503,1006899334,0
27610,1006973536,2
36257,1007054441,2
16069,1007073382,0
16069,1007127288,0
4718,1007273104,0
62590,100728423,1
61333,1007285542,3
55372,1007289801,2
61333,1007294943,3
32319,1007313467,3
16069,1007343357,0
32319,1007376023,3
29302,1007439131,2
61333,1007466376,3
36257,1007470312,2
16069,1007589714,0
32319,1007595679,3
37779,1007636570,1
27610,1007714989,2
29302,1007771619,2
18796,1007844942,3
61333,1007883975,3
62590,1007921043,1
29302,1007921584,2
30680,1007956977,3
37779,1007961507,1
37055,1008067715,3
28656,1008105275,1
29302,10081088,2
16069,1008185618,0
55372,1008254374,2
30680,100828468,3
49445,1008318688,1
18796,1008404042,3
55372,1008408081,2
4718,1008483043,0
34503,1008533792,0
2044,100856271,0
2044,1008623492,0
32319,1008630948,3
4718,1008708679,0
25571,1008787040,1
26734,1008843441,2
55372,100885486,2
61333,1008866094,3
28656,1008868907,1
30680,1008873903,3
55372,1008888999,2
4718,1008893190,0
2044,1009015092,0
61333,1009072101,3
37055,1009073883,3
28656,1009091529,1
28656,1009110105,1
27610,1009119274,2
25571,1009169722,1
22343,1009189193,2
28656,1009252695,1
61333,1009257874,3
61333,1009349839,3
49445,1009402941,1
4718,1009479323,0
28656,1009548198,1
2044,1009580605,0
16069,1009615872,0
22343,1009635727,2
37779,1009663684,1
37055,1009680251,3
18796,1009688574,3
26734,1009709200,2
22343,1009802736,2
22343,1009896983,2
37055,1009934063,3
16069,1010007890,0
25571,1010052861,1
36257,1010097914,2
36257,1010156369,2
26734,101019962,2
53618,1010235832,0
30680,1010436789,3
26734,1010447253,2
25571,1010464507,1
62590,1010528266,1
2044,1010536015,0
16069,1010611404,0
62590,1010691183,1
55372,1010756359,2
27610,1010770134,2
49445,1010783758,1
30680,1010863103,3
36257,1010879863,2
4718,1010899155,0
22343,1010997099,2
2044,1011023647,0
53618,1011073692,0
36257,1011089379,2
28656,1011131843,1
16069,1011172246,0
61333,1011181704,3
55372,1011293231,2
29302,1011337843,2
37055,1011397240,3
36257,1011428571,2
37055,1011439533,3
62590,1011551679,1
37055,1011584461,3
27610,101159897,2
16069,1011655866,0
32319,1011764636,3
18796,1011866732,3
37055,1011888729,3
34503,1011932931,0
49445,1011951727,1
28656,1012007761,1
16069,1012070725,0
18796,1012095402,3
61333,1012128245,3
34503,1012332717,0
37055,1012399145,3
37779,1012413496,1
28656,1012436204,1
62590,101254820,1
53618,1012549254,0
22343,1012561303,2
34503,1012598310,0
27610,1012711038,2
26734,1012730846,2
28656,1012790943,1
32319,1012792793,3
55372,1012855793,2
18796,1012858295,3
36257,1012920213,2
18796,101294429,3
32319,1012950600,3
62590,1013049724,1
16069,1013086398,0
62590,1013089308,1
62590,1013176670,1
29302,1013221310,2
34503,1013245879,0
28656,1013307113,1
18796,1013323013,3
62590,1013326498,1
55372,1013367191,2
4718,1013423308,0
36257,1013495928,2
22343,1013540347,2
25571,1013541116,1
37779,1013580084,1
16069,1013591180,0
37779,1013612636,1
55372,1013626252,2
53618,1013644801,0
27610,1013671116,2
22343,1013684724,2
18796,1013692040,3
49445,1013743455,1
53618,1013743606,0
18796,1013799623,3
37779,1013826473,1
55372,1013853098,2
34503,1013862460,0
16069,1013865959,0
4718,1013877443,0
53618,1013935760,0
29302,1013950926,2
36257,1013992984,2
30680,1014054229,3
22343,1014090586,2
34503,1014113250,0
53618,1014155374,0
4718,1014158300,0
16069,1014165416,0
2044,1014218227,0
53618,1014231677,0
62590,1014309332,1
2044,1014380301,0
62590,1014384002,1
32319,1014406304,3
34503,1014407590,0
2044,1014413603,0
36257,1014444319,2
32319,1014492439,3
61333,1014607730,3
22343,1014701040,2
36257,1014726001,2
53618,101474393,0
49445,1014762780,1
62590,101481172,1
61333,1014819003,3
29302,1014838286,2
55372,1014894603,2
61333,1014909824,3
27610,1015001652,2
26734,1015074417,2
36257,1015121761,2
36257,1015213362,2
29302,1015218913,2
36257,1015291697,2
37055,1015310004,3
4718,1015341138,0
29302,101535055,2
25571,1015365954,1
37055,1015378275,3
16069,1015381165,0
62590,1015438209,1
34503,1015524947,0
49445,1015554989,1
34503,1015703209,0
25571,1015836290,1
27610,1015872038,2
18796,1015898752,3
36257,1015971577,2
49445,101597212,1
34503,1015991015,0
61333,1016094606,3
36257,1016095044,2
61333,101609823,3
36257,101610040,2
2044,1016122489,0
36257,1016131365,2
61333,1016178453,3
53618,1016188683,0
22343,101620264,2
27610,1016231410,2
32319,1016337310,3
22343,1016351470,2
26734,1016357067,2
34503,1016391462,0
2044,101647228,0
4718,101652313,0
62590,101661345,1
28656,1016658799,1
53618,1016693705,0
32319,1016715012,3
28656,1016730489,1
27610,1016834986,2
37779,1016844567,1
16069,1016860110,0
53618,1016885494,0
36257,1016946023,2
55372,101697989,2
18796,1017029978,3
53618,1017084612,0
32319,1017105712,3
28656,101711203,1
28656,1017166074,1
27610,1017341203,2
29302,1017350755,2
30680,1017428007,3
49445,1017502021,1
62590,1017601410,1
25571,1017647108,1
61333,1017658305,3
49445,1017741837,1
18796,1017765987,3
37055,1017786464,3
18796,1017846424,3
37055,1017929124,3
16069,1017994904,0
53618,1018058233,0
36257,1018108815,2
26734,1018275085,2
28656,1018347883,1
53618,1018357229,0
29302,1018515735,2
55372,1018546863,2
61333,101857536,3
37055,1018622731,3
16069,1018622870,0
36257,1018632617,2
61333,1018651515,3
4718,101865528,0
30680,1018737451,3
32319,1018744120,3
49445,1019060027,1
62590,101907510,1
16069,1019148599,0
32319,1019224704,3
18796,1019274093,3
32319,1019292479,3
37055,101940165,3
18796,1019494452,3
16069,1019501034,0
34503,1019518672,0
29302,1019520915,2
26734,1019555958,2
4718,1019569080,0
37779,1019604830,1
25571,1019642247,1
32319,1019705591,3
27610,1019707437,2
29302,1019710754,2
61333,1019716343,3
62590,1019811096,1
49445,1019877891,1
2044,101990054,0
49445,1019972081,1
37055,1020065367,3
25571,102010923,1
32319,1020163368,3
55372,1020175204,2
30680,102024546,3
49445,1020308865,1
29302,1020325960,2
18796,1020380433,3
26734,102039350,2
36257,1020396165,2
18796,1020431771,3
62590,1020492846,1
27610,1020513347,2
34503,1020522023,0
37055,1020571089,3
62590,1020636691,1
62590,1020690251,1
61333,1020752524,3
27610,1020804612,2
22343,1020848799,2
16069,1020928630,0
53618,1020960313,0
55372,1020961825,2
27610,1021102195,2
61333,102114016,3
18796,1021141589,3
36257,1021205595,2
26734,1021210160,2
2044,1021210853,0
16069,1021266562,0
53618,1021288255,0
30680,1021381332,3
27610,1021439238,2
55372,1021460879,2
37055,10214767,3
30680,1021547319,3
53618,1021561409,0
26734,1021570461,2
28656,1021572113,1
29302,1021619518,2
37055,1021653641,3
25571,1021810345,1
49445,1021884782,1
34503,1021900105,0
32319,1021901003,3
36257,1021976057,2
61333,1021999395,3
34503,1022004947,0
16069,1022015590,0
18796,1022069907,3
61333,102207132,3
37779,102212493,1
25571,1022152273,1
18796,1022159277,3
36257,1022238114,2
55372,1022298930,2
37055,1022310546,3
61333,1022328281,3
61333,1022328820,3
29302,1022485264,2
22343,1022563534,2
28656,1022664925,1
34503,1022718935,0
55372,1022731463,2
55372,1022797132,2
2044,1022861015,0
27610,1022982616,2
55372,1023019419,2
16069,1023028670,0
37055,1023066801,3
22343,1023083089,2
34503,1023107599,0
18796,1023157153,3
36257,1023170909,2
61333,1023203267,3
62590,1023256181,1
25571,1023273722,1
55372,1023362520,2
27610,1023378172,2
49445,1023395451,1
55372,1023415835,2
26734,1023536143,2
49445,1023585966,1
37055,1023609524,3
37055,1023658142,3
37779,1023675829,1
36257,1023708942,2
32319,1023886398,3
61333,1023892194,3
18796,1023910448,3
49445,1023919338,1
26734,1023936310,2
55372,1023994830,2
18796,1024010450,3
53618,1024138460,0
16069,1024145381,0
49445,102425033,1
34503,102431712,0
28656,1024384339,1
29302,1024394310,2
29302,102447911,2
2044,1024506547,0
16069,1024548724,0
34503,1024551261,0
22343,1024581616,2
2044,1024673535,0
61333,1024693162,3
18796,1024708488,3
37779,1024817462,1
16069,1024902370,0
61333,1024910426,3
53618,1024964075,0
37779,1024967173,1
26734,1024971670,2
49445,1024980485,1
29302,1024991396,2
29302,102499449,2
36257,1024994942,2
61333,1025015505,3
37779,102503366,1
16069,1025039170,0
27610,1025080466,2
36257,1025094898,2
30680,102509982,3
18796,1025116466,3
55372,1025172316,2
29302,1025214855,2
34503,1025236508,0
25571,1025250464,1
28656,1025265392,1
49445,1025280596,1
61333,1025291620,3
49445,1025406501,1
16069,1025416543,0
49445,1025455481,1
37055,1025510427,3
32319,1025518360,3
34503,102553682,0
62590,1025568842,1
22343,1025591075,2
2044,1025699944,0
28656,1025799820,1
53618,1025808828,0
29302,1025956662,2
22343,1025979528,2
34503,1025998316,0
49445,1026021808,1
22343,1026057418,2
18796,1026057601,3
36257,1026135136,2
55372,1026138898,2
16069,1026300846,0
49445,1026329560,1
2044,1026329748,0
27610,1026387183,2
61333,1026423099,3
4718,1026522211,0
32319,1026526321,3
62590,1026529150,1
18796,1026568164,3
53618,1026575350,0
30680,1026602539,3
37055,1026623580,3
18796,1026681929,3
27610,1026705487,2
29302,1026739773,2
26734,1026803361,2
61333,1026810748,3
4718,1026867327,0
22343,1027052313,2
26734,1027079546,2
28656,1027101383,1
18796,1027111435,3
4718,102726767,0
32319,1027379643,3
62590,1027391960,1
49445,1027422830,1
37779,1027446039,1
28656,1027470238,1
2044,1027509344,0
27610,1027533264,2
62590,1027536161,1
29302,1027576970,2
34503,1027594446,0
25571,1027648215,1
53618,1027749514,0
37055,1027765565,3
27610,1027856890,2
26734,1027864024,2
2044,1027900681,0
62590,1027923845,1
37055,1027979942,3
29302,1028144547,2
28656,1028173090,1
55372,1028182634,2
32319,1028243957,3
4718,1028248004,0
29302,1028255234,2
32319,1028374583,3
61333,1028412735,3
32319,102844340,3
34503,1028459881,0
62590,102847810,1
2044,1028534474,0
26734,1028583838,2
61333,1028627065,3
34503,1028641963,0
62590,1028680354,1
55372,1028759074,2
55372,1028804567,2
2044,102890097,0
61333,1028905328,3
16069,1028981073,0
18796,1029012874,3
53618,1029056550,0
32319,1029081818,3
16069,1029270291,0
61333,1029286746,3
2044,10293515,0
34503,1029445326,0
32319,1029531333,3
25571,1029561256,1
2044,1029613352,0
61333,1029617697,3
25571,1029620954,1
30680,1029641741,3
29302,1029642842,2
26734,1029646763,2
30680,1029676177,3
26734,1029689790,2
30680,1029829062,3
18796,1029866550,3
49445,1029897245,1
49445,102996030,1
32319,1030041990,3
22343,1030054976,2
49445,1030121388,1
34503,1030208864,0
27610,1030256097,2
49445,1030261032,1
49445,1030274639,1
36257,1030305601,2
22343,1030332744,2
61333,10303548,3
30680,1030388949,3
29302,1030406748,2
18796,1030417467,3
2044,1030434653,0
34503,1030593330,0
37779,1030613243,1
22343,1030724797,2
36257,1030751383,2
22343,1030772350,2
26734,1030798091,2
34503,1030812013,0
4718,1030853086,0
53618,1030910923,0
25571,1030989750,1
4718,1030999521,0
62590,1031010390,1
26734,1031015086,2
34503,1031058936,0
2044,103107391,0
36257,1031139337,2
29302,1031198503,2
27610,1031264647,2
49445,1031339979,1
18796,103135457,3
28656,1031535584,1
37055,103159994,3
49445,1031646687,1
16069,1031655325,0
27610,1031658415,2
26734,1031687331,2
62590,1031693648,1
16069,1031724967,0
36257,1031804325,2
37779,1031866471,1
53618,1031886162,0
4718,1031918144,0
61333,1031966450,3
36257,1031993453,2
32319,1032050962,3
62590,1032052342,1
27610,103207358,2
22343,1032077953,2
28656,1032234141,1
16069,1032250678,0
27610,1032349681,2
49445,1032494807,1
22343,1032529539,2
32319,103254964,3
61333,1032553268,3
34503,1032597281,0
30680,1032653915,3
55372,1032732873,2
55372,1032786023,2
25571,103287993,1
32319,1032960004,3
36257,1032986060,2
37055,1032989664,3
36257,1033007049,2
53618,1033017715,0
34503,1033041369,0
37779,103306512,1
26734,1033074883,2
26734,1033117343,2
28656,1033147866,1
37779,1033157961,1
37779,1033181756,1
27610,1033189503,2
53618,1033205678,0
25571,1033234136,1
36257,1033356370,2
49445,1033363053,1
26734,1033366533,2
32319,1033479208,3
49445,1033488753,1
37055,1033534525,3
55372,1033624602,2
16069,1033652090,0
61333,1033678481,3
2044,1033683305,0
30680,1033713533,3
32319,103376986,3
53618,1033802210,0
29302,1033803947,2
26734,1033908380,2
36257,1033988482,2
22343,10339979,2
29302,1034032131,2
55372,1034040233,2
49445,1034040827,1
37055,1034102348,3
62590,1034107946,1
18796,1034110468,3
27610,1034207567,2
22343,1034274193,2
30680,1034278983,3
27610,1034334073,2
55372,1034356838,2
34503,1034411879,0
16069,103441466,0
36257,1034423299,2
2044,103445643,0
49445,1034459795,1
55372,1034476603,2
22343,103448591,2
62590,1034534475,1
53618,1034631660,0
37779,1034670586,1
37055,1034699789,3
37055,1034701769,3
22343,1034721067,2
29302,1034826619,2
61333,1034854052,3
62590,1034885086,1
26734,1034890958,2
2044,1034891803,0
25571,1034951137,1
27610,1034965249,2
32319,1034966380,3
49445,1035013846,1
25571,1035084295,1
26734,103511393,2
2044,1035224046,0
34503,103525223,0
2044,1035280010,0
55372,1035285322,2
61333,1035296890,3
37779,1035321681,1
22343,1035403110,2
55372,1035456503,2
22343,1035512598,2
53618,1035558000,0
62590,1035565428,1
53618,1035578639,0
30680,103559943,3
37779,1035600457,1
4718,1035642852,0
53618,1035730875,0
32319,1035840159,3
49445,1035864763,1
16069,1035872222,0
49445,1035984006,1
32319,103602887,3
27610,1036196695,2
32319,1036252951,3
55372,1036285042,2
37779,1036359686,1
34503,1036379240,0
22343,1036421289,2
32319,1036450361,3
55372,1036533768,2
30680,1036539894,3
22343,1036548519,2
25571,1036570100,1
34503,1036612603,0
53618,1036645201,0
37055,1036840165,3
34503,1036918932,0
62590,1036933165,1
49445,1036963710,1
61333,103696964,3
55372,1036976480,2
55372,1037054760,2
26734,1037101906,2
29302,1037194971,2
28656,1037251077,1
18796,1037272350,3
61333,1037367912,3
22343,1037409046,2
26734,1037419312,2
62590,1037505477,1
34503,1037544520,0
36257,1037679953,2
32319,1037905016,3
4718,1037906172,0
53618,1037908412,0
62590,1037947715,1
4718,1037988102,0
18796,1037994241,3
62590,1038000543,1
2044,1038041627,0
4718,1038078616,0
49445,1038127473,1
37055,1038143759,3
37779,1038164030,1
36257,103822726,2
29302,1038249738,2
32319,1038257535,3
26734,1038270357,2
4718,1038283720,0
2044,1038299447,0
2044,1038300531,0
32319,10384674,3
29302,1038478644,2
36257,1038497922,2
37779,1038571512,1
4718,1038582543,0
53618,1038643940,0
55372,103874012,2
22343,1038749660,2
27610,1038766651,2
30680,1038775117,3
28656,1038816212,1
55372,1038833989,2
34503,1038859387,0
36257,1038912136,2
30680,1038934108,3
30680,1039062493,3
37779,103910369,1
27610,1039127136,2
4718,1039139776,0
62590,1039263697,1
18796,1039289937,3
61333,1039386922,3
37055,1039398151,3
2044,1039405470,0
26734,1039422261,2
18796,1039427744,3
55372,103948068,2
55372,1039567830,2
4718,1039663107,0
55372,1039674858,2
37055,1039700265,3
26734,1039813255,2
29302,1039823361,2
53618,1039826813,0
27610,1039853759,2
28656,1039857466,1
37779,10398646,1
49445,1039908176,1
53618,1039933323,0
53618,1039995284,0
53618,10400019,0
61333,1040007027,3
37055,1040012767,3
18796,1040013639,3
37055,1040070657,3
25571,1040080251,1
53618,1040091276,0
27610,1040187339,2
2044,1040195717,0
26734,1040227886,2
61333,1040259915,3
37779,1040304860,1
16069,1040327703,0
55372,1040331541,2
26734,1040364449,2
26734,1040367401,2
16069,1040555625,0
49445,1040600536,1
49445,104061906,1
29302,1040682636,2
22343,1040768841,2
36257,1040779523,2
34503,1040862463,0
29302,1040875819,2
2044,1040944803,0
37779,1041014537,1
62590,1041048209,1
37779,10410955,1
29302,1041199032,2
36257,1041242608,2
26734,1041279850,2
30680,10412885,3
55372,1041298333,2
37055,1041303217,3
62590,1041304780,1
37055,1041325899,3
29302,1041368107,2
30680,1041371908,3
37779,1041375747,1
4718,1041421776,0
55372,1041464458,2
4718,104148194,0
53618,1041494152,0
53618,104149588,0
22343,1041640986,2
27610,1041695109,2
18796,1041729682,3
28656,1041739351,1
25571,1041787565,1
26734,1041793625,2
37779,1041802107,1
37055,1041824547,3
34503,1041845026,0
62590,1041859085,1
18796,1041866445,3
25571,1041888943,1
61333,1041928684,3
16069,1042104767,0
26734,1042175264,2
53618,1042235492,0
29302,1042256889,2
16069,1042272721,0
49445,1042278290,1
62590,1042295381,1
28656,1042331405,1
22343,1042366453,2
55372,1042379551,2
55372,104238255,2
34503,1042395427,0
34503,1042452388,0
27610,1042544446,2
53618,1042569027,0
4718,1042662858,0
49445,1042697982,1
2044,1042730912,0
37055,1042766949,3
25571,1042775189,1
27610,1042805901,2
34503,1042842785,0
53618,1042874485,0
22343,1042877364,2
26734,1042895453,2
32319,1042920123,3
32319,104292849,3
34503,1042995708,0
4718,1043017304,0
36257,1043061666,2
26734,1043066340,2
4718,1043117617,0
61333,104312539,3
4718,1043224799,0
49445,1043321984,1
61333,1043568687,3
32319,1043726371,3
26734,1043734092,2
25571,1043752485,1
25571,1043768685,1
37055,1043774222,3
30680,1043840094,3
61333,1043846192,3
55372,1043911310,2
27610,1043917700,2
53618,1043964363,0
36257,1043973118,2
2044,1043975924,0
55372,104399167,2
29302,1044050777,2
53618,1044100553,0
53618,1044118052,0
55372,1044122718,2
36257,1044130439,2
18796,1044159223,3
49445,1044159483,1
29302,1044166375,2
28656,1044177843,1
37779,1044179662,1
53618,1044268814,0
28656,1044276250,1
53618,1044296804,0
36257,1044409053,2
37055,1044425550,3
2044,1044479555,0
37055,1044500684,3
29302,104454935,2
27610,1044589393,2
37779,1044598974,1
27610,1044662280,2
27610,1044668832,2
16069,1044708688,0
37779,1044728730,1
62590,1044729798,1
37779,1044825469,1
37055,1044827182,3
37779,1044968368,1
49445,1045056381,1
37779,1045086453,1
32319,1045086950,3
49445,1045114673,1
53618,1045215454,0
53618,1045255796,0
32319,1045258570,3
53618,1045269533,0
25571,1045319821,1
49445,1045321300,1
29302,1045448341,2
27610,1045463707,2
53618,1045478644,0
29302,104550800,2
16069,1045510771,0
53618,1045515676,0
36257,1045550713,2
18796,1045566902,3
22343,1045643325,2
22343,1045664268,2
49445,1045704130,1
62590,1045787067,1
25571,1045793732,1
37779,104583781,1
29302,1045855826,2
32319,1045887242,3
27610,1045949632,2
18796,1046137044,3
36257,1046162244,2
18796,1046179649,3
26734,1046246037,2
62590,104633332,1
49445,1046442307,1
37055,1046463258,3
18796,1046474374,3
55372,104649498,2
32319,1046513185,3
37055,104652110,3
27610,1046628782,2
62590,104663714,1
37055,1046725989,3
16069,1046796659,0
27610,1046805519,2
34503,1046816180,0
62590,1046889917,1
36257,1046960010,2
49445,104698648,1
55372,1047009010,2
49445,1047046743,1
30680,1047094149,3
62590,1047094338,1
37055,1047094994,3
4718,1047126044,0
22343,1047151249,2
2044,1047203339,0
30680,104723878,3
25571,1047322897,1
28656,1047364446,1
61333,1047407518,3
49445,1047492664,1
22343,104756389,2
61333,1047588917,3
28656,104761710,1
61333,1047646329,3
27610,1047704230,2
27610,1047706700,2
61333,1047781271,3
27610,1047783917,2
29302,1047831359,2
61333,1047842946,3
22343,1047855691,2
29302,1047880719,2
2044,1047894514,0
29302,1047928737,2
36257,1047946626,2
61333,104795088,3
37779,1047968766,1
29302,1048033497,2
36257,104804968,2
16069,1048119697,0
61333,1048128361,3
22343,1048164520,2
28656,1048182726,1
37055,1048201656,3
26734,1048231757,2
62590,1048270730,1
26734,1048321924,2
53618,1048337666,0
16069,104843486,0
49445,1048478176,1
25571,1048480380,1
32319,1048490799,3
34503,1048506095,0
22343,1048599802,2
30680,1048601140,3
26734,1048634291,2
29302,1048661021,2
29302,1048663259,2
25571,1048720861,1
49445,1048722379,1
53618,1048727150,0
34503,1048751747,0
61333,104882422,3
26734,1048909726,2
37779,1049102978,1
36257,1049139592,2
22343,1049166340,2
22343,1049170200,2
37779,104919997,1
29302,1049246757,2
55372,1049333044,2
55372,1049357729,2
2044,1049406547,0
2044,1049435447,0
37779,1049441464,1
55372,1049446909,2
62590,104949768,1
32319,1049501001,3
61333,1049503265,3
25571,1049521508,1
37055,1049534022,3
37779,1049583351,1
62590,1049587865,1
49445,1049674516,1
26734,1049674720,2
25571,1049699520,1
34503,1049849883,0
32319,1049896113,3
37779,1049921277,1
30680,1049999808,3
32319,1050027994,3
27610,1050083074,2
4718,1050111178,0
16069,1050178503,0
22343,1050223528,2
25571,1050254159,1
16069,1050287724,0
28656,1050328104,1
62590,1050340236,1
36257,1050467395,2
26734,105049882,2
